"Story","Title","Result","Date","Stability","Duration (s)"
"Categories CURD test","This test will create a new categories and verify by created categories","SUCCESS","2021-07-19T13:02:43.707+01:00[Europe/London]","0.0","18.24"
"Categories CURD test","This test will get the categories information by ID","SUCCESS","2021-07-19T13:03:02.110+01:00[Europe/London]","0.0","0.24"
"Categories CURD test","This test will update the categories information and verify the updated information","SUCCESS","2021-07-19T13:03:02.355+01:00[Europe/London]","0.0","0.55"
"Categories CURD test","This test will delete the categories information and verify the categories is deleted ","SUCCESS","2021-07-19T13:03:02.908+01:00[Europe/London]","0.0","0.53"
"Categories CURD test","This will get all categories","SUCCESS","2021-07-19T13:03:03.442+01:00[Europe/London]","0.0","0.23"
"Product CURD test","This will get all products","SUCCESS","2021-07-19T13:03:12.668+01:00[Europe/London]","0.0","0.66"
"Product CURD test","This will create new product","SUCCESS","2021-07-19T13:03:13.344+01:00[Europe/London]","0.0","0.34"
"Product CURD test","This will get product- By product ID ","SUCCESS","2021-07-19T13:03:13.688+01:00[Europe/London]","0.0","0.8"
"Product CURD test","This will be updated a product by id","SUCCESS","2021-07-19T13:03:14.493+01:00[Europe/London]","0.0","0.33"
"Product CURD test","This will delete and verify if product is deleted","SUCCESS","2021-07-19T13:03:14.820+01:00[Europe/London]","0.0","1.05"
"Service CURD test","This test will create a new services and verify it","SUCCESS","2021-07-19T13:03:16.168+01:00[Europe/London]","0.0","0.29"
"Service CURD test","This test will get the services information by ID","SUCCESS","2021-07-19T13:03:16.460+01:00[Europe/London]","0.0","0.05"
"Service CURD test","This test will update the services information and verify Update","SUCCESS","2021-07-19T13:03:16.511+01:00[Europe/London]","0.0","0.37"
"Service CURD test","This test will delete the categories information and verify the categories is deleted ","SUCCESS","2021-07-19T13:03:16.881+01:00[Europe/London]","0.0","0.92"
"Service CURD test","This will get all services","SUCCESS","2021-07-19T13:03:17.807+01:00[Europe/London]","0.0","0.05"
"Stores CURD test","This test will create a new stores and verify it","SUCCESS","2021-07-19T13:03:18.218+01:00[Europe/London]","0.0","0.49"
"Stores CURD test","This test will get the stores information by ID","SUCCESS","2021-07-19T13:03:18.711+01:00[Europe/London]","0.0","0.05"
"Stores CURD test","This test will update the store information and verify it","SUCCESS","2021-07-19T13:03:18.764+01:00[Europe/London]","0.0","0.29"
"Stores CURD test","This test will delete the store and verify the store is deleted ","SUCCESS","2021-07-19T13:03:19.052+01:00[Europe/London]","0.0","0.21"
"Stores CURD test","This will get all stores","SUCCESS","2021-07-19T13:03:19.264+01:00[Europe/London]","0.0","0.16"
